using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                      aten::empty         0.01%      37.031us         0.01%      37.031us      37.031us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.02%     170.469us         0.05%     315.625us     315.625us       1.312us         0.00%       1.312us       1.312us             1  
                       aten::view         0.02%     145.156us         0.02%     145.156us     145.156us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.11%     750.468us         0.11%     750.468us     750.468us     702.938us         0.10%     702.938us     702.938us             1  
                       aten::relu         0.10%     683.749us         0.17%       1.157ms       1.157ms       5.688us         0.00%     203.438us     203.438us             1  
                  aten::threshold         0.06%     409.532us         0.07%     472.761us     472.761us     197.750us         0.03%     197.750us     197.750us             1  
                      aten::empty         0.01%      63.229us         0.01%      63.229us      63.229us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.05%     368.438us         0.15%       1.033ms       1.033ms       2.812us         0.00%     582.500us     582.500us             1  
    aten::max_pool2d_with_indices         0.08%     531.874us         0.10%     664.895us     664.895us     578.375us         0.08%     579.688us     579.688us             1  
                      aten::empty         0.00%      12.969us         0.00%      12.969us      12.969us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       7.656us         0.00%       7.656us       7.656us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      59.740us         0.01%      59.740us      59.740us       1.312us         0.00%       1.312us       1.312us             1  
                     aten::stride         0.00%       4.167us         0.00%       4.167us       4.167us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.083us         0.00%       2.083us       2.083us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.292us         0.00%       2.292us       2.292us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.395us         0.00%       2.395us       2.395us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      27.032us         0.00%      27.032us      27.032us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      14.687us         0.00%      14.687us      14.687us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.02%     135.937us         2.58%      17.659ms      17.659ms       2.688us         0.00%       7.241ms       7.241ms             1  
                aten::convolution         0.02%     120.157us         2.56%      17.523ms      17.523ms       2.812us         0.00%       7.238ms       7.238ms             1  
               aten::_convolution         0.05%     325.622us         2.54%      17.403ms      17.403ms       6.750us         0.00%       7.236ms       7.236ms             1  
                 aten::contiguous         0.01%      83.803us         0.01%      83.803us      83.803us       1.375us         0.00%       1.375us       1.375us             1  
          aten::cudnn_convolution         2.40%      16.460ms         2.44%      16.730ms      16.730ms       6.967ms         0.99%       6.969ms       6.969ms             1  
                      aten::empty         0.01%      38.490us         0.01%      38.490us      38.490us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      89.896us         0.01%      89.896us      89.896us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       8.125us         0.00%       8.125us       8.125us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      76.406us         0.01%      76.406us      76.406us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       7.343us         0.00%       7.343us       7.343us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       5.313us         0.00%       5.313us       5.313us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.386us         0.00%       3.386us       3.386us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.437us         0.00%       3.437us       3.437us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.177us         0.00%       3.177us       3.177us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.01%      35.209us         0.01%      35.209us      35.209us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      39.376us         0.01%      77.605us      77.605us       1.375us         0.00%       1.375us       1.375us             1  
                       aten::view         0.01%      38.229us         0.01%      38.229us      38.229us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.03%     185.365us         0.03%     185.365us     185.365us     256.750us         0.04%     256.750us     256.750us             1  
                       aten::relu         0.02%     158.177us         0.04%     276.875us     276.875us       5.750us         0.00%      82.000us      82.000us             1  
                  aten::threshold         0.01%     100.156us         0.02%     118.698us     118.698us      76.250us         0.01%      76.250us      76.250us             1  
                      aten::empty         0.00%      18.542us         0.00%      18.542us      18.542us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.01%      78.072us         0.19%       1.326ms       1.326ms       2.750us         0.00%       7.020ms       7.020ms             1  
                aten::convolution         0.01%      85.782us         0.18%       1.248ms       1.248ms       2.688us         0.00%       7.018ms       7.018ms             1  
               aten::_convolution         0.03%     193.540us         0.17%       1.162ms       1.162ms       6.625us         0.00%       7.015ms       7.015ms             1  
                 aten::contiguous         0.00%      32.864us         0.00%      32.864us      32.864us       1.375us         0.00%       1.375us       1.375us             1  
          aten::cudnn_convolution         0.07%     494.480us         0.10%     670.782us     670.782us       6.824ms         0.97%       6.827ms       6.827ms             1  
                      aten::empty         0.00%      16.198us         0.00%      16.198us      16.198us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      33.490us         0.00%      33.490us      33.490us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       3.438us         0.00%       3.438us       3.438us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      29.583us         0.00%      29.583us      29.583us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       2.812us         0.00%       2.812us       2.812us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.291us         0.00%       2.291us       2.291us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.198us         0.00%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.01%      84.792us         0.01%      84.792us      84.792us       0.000us         0.00%       0.000us       0.000us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 685.727ms
CUDA time total: 702.979ms
AlexNet_without_conv3
using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d        12.13%      60.730ms        95.71%     479.063ms     479.063ms      60.270ms        10.99%     479.644ms     479.644ms             1  
                aten::convolution         0.07%     358.802us        83.58%     418.333ms     418.333ms     268.719us         0.05%     419.374ms     419.374ms             1  
               aten::_convolution         8.26%      41.358ms        83.51%     417.974ms     417.974ms      41.177ms         7.51%     419.106ms     419.106ms             1  
                 aten::contiguous         0.04%     223.542us         0.04%     223.542us     223.542us       2.406us         0.00%       2.406us       2.406us             1  
          aten::cudnn_convolution        58.24%     291.517ms        64.60%     323.344ms     323.344ms     323.522ms        58.99%     323.526ms     323.526ms             1  
                      aten::empty         0.07%     328.021us         0.07%     328.021us     328.021us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.05%     257.031us         0.05%     257.031us     257.031us       2.344us         0.00%       2.344us       2.344us             1  
                    aten::resize_         6.20%      31.027ms         6.20%      31.027ms      31.027ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.02%      99.323us         0.02%      99.323us      99.323us       1.719us         0.00%       1.719us       1.719us             1  
                    aten::resize_         0.00%       3.490us         0.00%       3.490us       3.490us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%      11.875us         0.00%      11.875us      11.875us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.635us         0.00%       4.635us       4.635us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.115us         0.00%       4.115us       4.115us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.115us         0.00%       4.115us       4.115us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.02%      87.083us         0.02%      87.083us      87.083us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         1.27%       6.376ms         1.40%       7.017ms       7.017ms       7.204ms         1.31%       7.204ms       7.204ms             1  
                       aten::view         0.13%     640.833us         0.13%     640.833us     640.833us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         9.20%      46.032ms         9.20%      46.032ms      46.032ms      47.196ms         8.61%      47.196ms      47.196ms             1  
                       aten::relu         0.24%       1.195ms         0.38%       1.884ms       1.884ms     353.188us         0.06%       1.088ms       1.088ms             1  
                  aten::threshold         0.12%     624.167us         0.14%     689.323us     689.323us     734.938us         0.13%     734.938us     734.938us             1  
                      aten::empty         0.01%      65.156us         0.01%      65.156us      65.156us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.06%     322.396us         1.22%       6.084ms       6.084ms       5.875us         0.00%       6.696ms       6.696ms             1  
    aten::max_pool2d_with_indices         1.11%       5.564ms         1.15%       5.762ms       5.762ms       6.565ms         1.20%       6.690ms       6.690ms             1  
                      aten::empty         0.00%      17.916us         0.00%      17.916us      17.916us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       6.718us         0.00%       6.718us       6.718us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.03%     128.386us         0.03%     128.386us     128.386us     124.750us         0.02%     124.750us     124.750us             1  
                     aten::stride         0.00%       3.750us         0.00%       3.750us       3.750us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.771us         0.00%       1.771us       1.771us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.614us         0.00%       1.614us       1.614us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.614us         0.00%       1.614us       1.614us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      24.218us         0.00%      24.218us      24.218us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      11.875us         0.00%      11.875us      11.875us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.02%     118.802us         0.79%       3.945ms       3.945ms       2.875us         0.00%      35.498ms      35.498ms             1  
                aten::convolution         0.02%     116.718us         0.76%       3.827ms       3.827ms       2.625us         0.00%      35.495ms      35.495ms             1  
               aten::_convolution         0.07%     351.979us         0.74%       3.710ms       3.710ms       6.812us         0.00%      35.493ms      35.493ms             1  
                 aten::contiguous         0.04%     211.927us         0.04%     211.927us     211.927us       1.312us         0.00%       1.312us       1.312us             1  
          aten::cudnn_convolution         0.46%       2.281ms         0.52%       2.611ms       2.611ms      34.674ms         6.32%      34.783ms      34.783ms             1  
                      aten::empty         0.01%      43.073us         0.01%      43.073us      43.073us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.02%     104.635us         0.02%     104.635us     104.635us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%      10.833us         0.00%      10.833us      10.833us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.02%     109.375us         0.02%     109.375us     109.375us     106.938us         0.02%     106.938us     106.938us             1  
                    aten::resize_         0.00%      10.208us         0.00%      10.208us      10.208us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       7.344us         0.00%       7.344us       7.344us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       4.480us         0.00%       4.480us       4.480us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.125us         0.00%       3.125us       3.125us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.969us         0.00%       2.969us       2.969us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.01%      33.542us         0.01%      33.542us      33.542us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      69.897us         0.03%     132.865us     132.865us       1.375us         0.00%       1.375us       1.375us             1  
                       aten::view         0.01%      62.968us         0.01%      62.968us      62.968us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.08%     402.135us         0.08%     402.135us     402.135us     700.625us         0.13%     700.625us     700.625us             1  
                       aten::relu         0.08%     411.927us         0.14%     696.302us     696.302us      11.312us         0.00%     209.688us     209.688us             1  
                  aten::threshold         0.05%     243.489us         0.06%     284.375us     284.375us     198.375us         0.04%     198.375us     198.375us             1  
                      aten::empty         0.01%      40.886us         0.01%      40.886us      40.886us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.04%     196.822us         0.21%       1.048ms       1.048ms       2.812us         0.00%     582.375us     582.375us             1  
    aten::max_pool2d_with_indices         0.13%     655.106us         0.17%     851.042us     851.042us     578.250us         0.11%     579.562us     579.562us             1  
                      aten::empty         0.00%      19.427us         0.00%      19.427us      19.427us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      12.447us         0.00%      12.447us      12.447us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.02%      94.687us         0.02%      94.687us      94.687us       1.312us         0.00%       1.312us       1.312us             1  
                     aten::stride         0.00%       5.313us         0.00%       5.313us       5.313us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.177us         0.00%       3.177us       3.177us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.281us         0.00%       3.281us       3.281us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.333us         0.00%       3.333us       3.333us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.01%      33.646us         0.01%      33.646us      33.646us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      20.625us         0.00%      20.625us      20.625us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.03%     157.916us         0.58%       2.918ms       2.918ms       2.125us         0.00%       4.082ms       4.082ms             1  
                aten::convolution         0.03%     145.209us         0.55%       2.760ms       2.760ms       2.000us         0.00%       4.080ms       4.080ms             1  
               aten::_convolution         0.11%     535.260us         0.52%       2.615ms       2.615ms       5.125us         0.00%       4.078ms       4.078ms             1  
                 aten::contiguous         0.01%      43.542us         0.01%      43.542us      43.542us       1.312us         0.00%       1.312us       1.312us             1  
          aten::cudnn_convolution         0.28%       1.384ms         0.31%       1.550ms       1.550ms       3.955ms         0.72%       3.958ms       3.958ms             1  
                      aten::empty         0.00%      19.427us         0.00%      19.427us      19.427us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      49.896us         0.01%      49.896us      49.896us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       5.261us         0.00%       5.261us       5.261us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      52.500us         0.01%      52.500us      52.500us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       5.261us         0.00%       5.261us       5.261us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.541us         0.00%       3.541us       3.541us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.396us         0.00%       2.396us       2.396us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.291us         0.00%       2.291us       2.291us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.292us         0.00%       2.292us       2.292us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      23.541us         0.00%      23.541us      23.541us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      73.959us         0.03%     138.698us     138.698us       0.688us         0.00%       0.688us       0.688us             1  
                       aten::view         0.01%      64.739us         0.01%      64.739us      64.739us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.07%     347.083us         0.07%     347.083us     347.083us     112.312us         0.02%     112.312us     112.312us             1  
                       aten::relu         0.06%     295.833us         0.10%     507.500us     507.500us       3.312us         0.00%      40.250us      40.250us             1  
                  aten::threshold         0.04%     181.927us         0.04%     211.667us     211.667us      36.938us         0.01%      36.938us      36.938us             1  
                      aten::empty         0.01%      29.740us         0.01%      29.740us      29.740us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.02%     111.772us         0.31%       1.539ms       1.539ms       1.375us         0.00%       3.071ms       3.071ms             1  
                aten::convolution         0.02%     103.853us         0.29%       1.427ms       1.427ms       1.562us         0.00%       3.069ms       3.069ms             1  
               aten::_convolution         0.05%     272.500us         0.26%       1.324ms       1.324ms       3.438us         0.00%       3.068ms       3.068ms             1  
                 aten::contiguous         0.01%      61.667us         0.01%      61.667us      61.667us       0.688us         0.00%       0.688us       0.688us             1  
          aten::cudnn_convolution         0.13%     630.524us         0.14%     718.959us     718.959us       2.984ms         0.54%       2.985ms       2.985ms             1  
                      aten::empty         0.00%      13.073us         0.00%      13.073us      13.073us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      30.208us         0.01%      30.208us      30.208us       0.688us         0.00%       0.688us       0.688us             1  
                    aten::resize_         0.00%       3.177us         0.00%       3.177us       3.177us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      24.479us         0.00%      24.479us      24.479us       0.688us         0.00%       0.688us       0.688us             1  
                    aten::resize_         0.00%       2.291us         0.00%       2.291us       2.291us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.822us         0.00%       1.822us       1.822us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.989us         0.00%       0.989us       0.989us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.990us         0.00%       0.990us       0.990us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.937us         0.00%       0.937us       0.937us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      10.469us         0.00%      10.469us      10.469us       0.000us         0.00%       0.000us       0.000us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 500.513ms
CUDA time total: 548.404ms
AlexNet_without_conv4
using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::conv2d        10.37%      62.578ms        51.68%     312.016ms     312.016ms      62.064ms        10.13%     312.405ms     312.405ms             1  
                aten::convolution         0.07%     415.676us        41.32%     249.438ms     249.438ms     262.188us         0.04%     250.341ms     250.341ms             1  
               aten::_convolution         5.11%      30.865ms        41.25%     249.022ms     249.022ms      30.307ms         4.95%     250.079ms     250.079ms             1  
                 aten::contiguous         0.02%     133.229us         0.02%     133.229us     133.229us      93.781us         0.02%      93.781us      93.781us             1  
          aten::cudnn_convolution        30.85%     186.224ms        35.80%     216.102ms     216.102ms     217.979ms        35.58%     217.983ms     217.983ms             1  
                      aten::empty         0.02%     120.000us         0.02%     120.000us     120.000us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      85.833us         0.01%      85.833us      85.833us       1.938us         0.00%       1.938us       1.938us             1  
                    aten::resize_         4.88%      29.447ms         4.88%      29.447ms      29.447ms       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.02%     135.156us         0.02%     135.156us     135.156us       2.344us         0.00%       2.344us       2.344us             1  
                    aten::resize_         0.00%      10.625us         0.00%      10.625us      10.625us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%      19.531us         0.00%      19.531us      19.531us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       8.698us         0.00%       8.698us       8.698us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       8.282us         0.00%       8.282us       8.282us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       7.552us         0.00%       7.552us       7.552us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.01%      35.677us         0.01%      35.677us      35.677us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.02%     146.041us         0.08%     488.958us     488.958us       1.906us         0.00%       1.906us       1.906us             1  
                       aten::view         0.06%     342.917us         0.06%     342.917us     342.917us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.24%       1.433ms         0.24%       1.433ms       1.433ms       1.693ms         0.28%       1.693ms       1.693ms             1  
                       aten::relu         0.14%     866.511us         9.73%      58.765ms      58.765ms     409.438us         0.07%      59.669ms      59.669ms             1  
                  aten::threshold         9.58%      57.854ms         9.59%      57.898ms      57.898ms      59.260ms         9.67%      59.260ms      59.260ms             1  
                      aten::empty         0.01%      44.167us         0.01%      44.167us      44.167us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.02%     134.479us         2.72%      16.398ms      16.398ms       2.781us         0.00%      20.844ms      20.844ms             1  
    aten::max_pool2d_with_indices         0.09%     534.739us         2.69%      16.263ms      16.263ms      20.840ms         3.40%      20.841ms      20.841ms             1  
                      aten::empty         2.58%      15.604ms         2.58%      15.604ms      15.604ms       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      10.104us         0.00%      10.104us      10.104us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      75.678us         0.01%      75.678us      75.678us       1.094us         0.00%       1.094us       1.094us             1  
                     aten::stride         0.00%       2.708us         0.00%       2.708us       2.708us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.510us         0.00%       1.510us       1.510us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.198us         0.00%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.198us         0.00%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      23.697us         0.00%      23.697us      23.697us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%       8.490us         0.00%       8.490us       8.490us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.01%      79.739us         0.24%       1.419ms       1.419ms       1.531us         0.00%      21.041ms      21.041ms             1  
                aten::convolution         0.03%     206.146us         0.22%       1.339ms       1.339ms       1.594us         0.00%      21.039ms      21.039ms             1  
               aten::_convolution         0.03%     196.093us         0.19%       1.133ms       1.133ms       4.312us         0.00%      21.038ms      21.038ms             1  
                 aten::contiguous         0.01%      31.354us         0.01%      31.354us      31.354us       0.781us         0.00%       0.781us       0.781us             1  
          aten::cudnn_convolution         0.09%     525.054us         0.10%     624.584us     624.584us      20.677ms         3.38%      20.678ms      20.678ms             1  
                      aten::empty         0.00%      17.916us         0.00%      17.916us      17.916us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      31.302us         0.01%      31.302us      31.302us       0.812us         0.00%       0.812us       0.812us             1  
                    aten::resize_         0.00%       3.281us         0.00%       3.281us       3.281us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      25.833us         0.00%      25.833us      25.833us       0.781us         0.00%       0.781us       0.781us             1  
                    aten::resize_         0.00%       2.448us         0.00%       2.448us       2.448us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.135us         0.00%       2.135us       2.135us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.042us         0.00%       1.042us       1.042us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.042us         0.00%       1.042us       1.042us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      13.281us         0.00%      13.281us      13.281us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      41.250us         0.01%      82.396us      82.396us       0.812us         0.00%       0.812us       0.812us             1  
                       aten::view         0.01%      41.146us         0.01%      41.146us      41.146us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.03%     198.802us         0.03%     198.802us     198.802us     353.438us         0.06%     353.438us     353.438us             1  
                       aten::relu         0.03%     159.375us         0.05%     280.625us     280.625us       3.250us         0.00%     104.000us     104.000us             1  
                  aten::threshold         0.02%     105.000us         0.02%     121.250us     121.250us     100.750us         0.02%     100.750us     100.750us             1  
                      aten::empty         0.00%      16.250us         0.00%      16.250us      16.250us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.01%      87.240us         0.07%     441.042us     441.042us       1.625us         0.00%     294.938us     294.938us             1  
    aten::max_pool2d_with_indices         0.05%     277.084us         0.06%     353.802us     353.802us     292.625us         0.05%     293.312us     293.312us             1  
                      aten::empty         0.00%       8.229us         0.00%       8.229us       8.229us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%       4.635us         0.00%       4.635us       4.635us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      35.625us         0.01%      35.625us      35.625us       0.688us         0.00%       0.688us       0.688us             1  
                     aten::stride         0.00%       1.927us         0.00%       1.927us       1.927us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.250us         0.00%       1.250us       1.250us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.146us         0.00%       1.146us       1.146us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.198us         0.00%       1.198us       1.198us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      15.104us         0.00%      15.104us      15.104us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%       7.604us         0.00%       7.604us       7.604us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.02%      91.980us         4.35%      26.265ms      26.265ms       1.562us         0.00%       4.883ms       4.883ms             1  
                aten::convolution         0.01%      84.686us         4.34%      26.173ms      26.173ms       6.188us         0.00%       4.881ms       4.881ms             1  
               aten::_convolution         0.04%     238.961us         4.32%      26.089ms      26.089ms       4.125us         0.00%       4.875ms       4.875ms             1  
                 aten::contiguous         0.01%      32.968us         0.01%      32.968us      32.968us       0.688us         0.00%       0.688us       0.688us             1  
          aten::cudnn_convolution         4.20%      25.330ms         4.21%      25.439ms      25.439ms       4.739ms         0.77%       4.740ms       4.740ms             1  
                      aten::empty         0.00%      14.532us         0.00%      14.532us      14.532us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      35.208us         0.01%      35.208us      35.208us       0.812us         0.00%       0.812us       0.812us             1  
                    aten::resize_         0.00%       3.437us         0.00%       3.437us       3.437us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      31.458us         0.01%      31.458us      31.458us       0.750us         0.00%       0.750us       0.750us             1  
                    aten::resize_         0.00%       2.813us         0.00%       2.813us       2.813us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.500us         0.00%       2.500us       2.500us       0.000us         0.00%       0.000us       0.000us             1  
