using cuda:0 device.
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 aten::contiguous         0.00%      41.562us         0.00%      41.562us      41.562us       1.375us         0.00%       1.375us       1.375us             1  
                    aten::resize_         0.00%       5.625us         0.00%       5.625us       5.625us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      61.145us         0.01%      61.145us      61.145us      53.000us         0.01%      53.000us      53.000us             1  
                    aten::resize_         0.00%       3.072us         0.00%       3.072us       3.072us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.084us         0.00%       2.084us       2.084us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.146us         0.00%       1.146us       1.146us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.990us         0.00%       0.990us       0.990us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.989us         0.00%       0.989us       0.989us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      23.073us         0.00%      23.073us      23.073us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.04%     311.094us         0.05%     415.729us     415.729us       1.062us         0.00%       1.062us       1.062us             1  
                       aten::view         0.01%     104.635us         0.01%     104.635us     104.635us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.07%     624.063us         0.07%     624.063us     624.063us     528.250us         0.06%     528.250us     528.250us             1  
                       aten::relu         0.16%       1.313ms         0.21%       1.780ms       1.780ms       4.312us         0.00%     154.000us     154.000us             1  
                  aten::threshold         0.05%     407.707us         0.06%     466.718us     466.718us     149.688us         0.02%     149.688us     149.688us             1  
                      aten::empty         0.01%      59.011us         0.01%      59.011us      59.011us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::max_pool2d         0.01%      83.542us         0.22%       1.867ms       1.867ms       2.062us         0.00%     437.688us     437.688us             1  
    aten::max_pool2d_with_indices         0.19%       1.563ms         0.21%       1.784ms       1.784ms     434.562us         0.05%     435.625us     435.625us             1  
                      aten::empty         0.00%       8.698us         0.00%       8.698us       8.698us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.01%      93.906us         0.01%      93.906us      93.906us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.01%      65.417us         0.01%      65.417us      65.417us       1.062us         0.00%       1.062us       1.062us             1  
                     aten::stride         0.00%       3.906us         0.00%       3.906us       3.906us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.187us         0.00%       2.187us       2.187us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.135us         0.00%       2.135us       2.135us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.187us         0.00%       2.187us       2.187us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      28.125us         0.00%      28.125us      28.125us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::resize_         0.00%      14.010us         0.00%      14.010us      14.010us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.01%      66.822us         8.13%      68.490ms      68.490ms       2.125us         0.00%      48.562ms      48.562ms             1  
                aten::convolution         0.14%       1.162ms         8.12%      68.423ms      68.423ms       2.125us         0.00%      48.560ms      48.560ms             1  
               aten::_convolution         0.03%     217.657us         7.98%      67.261ms      67.261ms       5.125us         0.00%      48.558ms      48.558ms             1  
                 aten::contiguous         0.00%      28.437us         0.00%      28.437us      28.437us       1.125us         0.00%       1.125us       1.125us             1  
          aten::cudnn_convolution         7.75%      65.272ms         7.85%      66.083ms      66.083ms      48.351ms         5.67%      48.353ms      48.353ms             1  
                      aten::empty         0.00%      18.386us         0.00%      18.386us      18.386us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      29.323us         0.00%      29.323us      29.323us       1.062us         0.00%       1.062us       1.062us             1  
                    aten::resize_         0.00%       3.698us         0.00%       3.698us       3.698us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.09%     734.532us         0.09%     734.532us     734.532us       1.000us         0.00%       1.000us       1.000us             1  
                    aten::resize_         0.00%       2.709us         0.00%       2.709us       2.709us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.031us         0.00%       2.031us       2.031us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.094us         0.00%       1.094us       1.094us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       3.489us         0.00%       3.489us       3.489us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       0.990us         0.00%       0.990us       0.990us       0.000us         0.00%       0.000us       0.000us             1  
                      aten::empty         0.00%      14.948us         0.00%      14.948us      14.948us       0.000us         0.00%       0.000us       0.000us             1  
                    aten::reshape         0.01%      45.937us         0.08%     709.791us     709.791us       1.062us         0.00%       1.062us       1.062us             1  
                       aten::view         0.08%     663.854us         0.08%     663.854us     663.854us       0.000us         0.00%       0.000us       0.000us             1  
                       aten::add_         0.03%     222.084us         0.03%     222.084us     222.084us     197.250us         0.02%     197.250us     197.250us             1  
                       aten::relu         0.03%     236.719us         0.05%     381.979us     381.979us       4.375us         0.00%      62.688us      62.688us             1  
                  aten::threshold         0.01%     120.624us         0.02%     145.260us     145.260us      58.312us         0.01%      58.312us      58.312us             1  
                      aten::empty         0.00%      24.636us         0.00%      24.636us      24.636us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::conv2d         0.01%      75.938us         0.45%       3.800ms       3.800ms       1.625us         0.00%      13.865ms      13.865ms             1  
                aten::convolution         0.01%      67.813us         0.44%       3.724ms       3.724ms       1.688us         0.00%      13.863ms      13.863ms             1  
               aten::_convolution         0.10%     870.782us         0.43%       3.656ms       3.656ms       4.000us         0.00%      13.862ms      13.862ms             1  
                 aten::contiguous         0.01%      42.552us         0.01%      42.552us      42.552us       1.125us         0.00%       1.125us       1.125us             1  
          aten::cudnn_convolution         0.27%       2.236ms         0.28%       2.366ms       2.366ms      13.752ms         1.61%      13.755ms      13.755ms             1  
                      aten::empty         0.00%      19.583us         0.00%      19.583us      19.583us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      37.239us         0.00%      37.239us      37.239us       1.062us         0.00%       1.062us       1.062us             1  
                    aten::resize_         0.00%       5.052us         0.00%       5.052us       5.052us       0.000us         0.00%       0.000us       0.000us             1  
                 aten::contiguous         0.00%      31.459us         0.00%      31.459us      31.459us       1.062us         0.00%       1.062us       1.062us             1  
                    aten::resize_         0.00%       6.406us         0.00%       6.406us       6.406us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       2.344us         0.00%       2.344us       2.344us       0.000us         0.00%       0.000us       0.000us             1  
                     aten::stride         0.00%       1.355us         0.00%       1.355us       1.355us       0.000us         0.00%       0.000us       0.000us             1  
